Raw_Data,StDev,Low_Freq_Data,Cleaned_Data,FFT_Cleaned_Data,Amplitude,PUAL_Score,Noise,Corrected_PUAL
0.31973,23.65816721636282,0.3050319233206944,0.014698076679305616,(-2.2537527399890678e-14-0j),2.2537527399890678e-14,0.19772534691004512,0.08318781031043872,0.1145375365996064
0.29808,,0.3050318477512663,-0.006951847751266282,(0.03016925229805259+0.1426807864018882j),0.14583549153921618,,,
0.30065,,0.30503174396701394,-0.004381743967013962,(-0.0682322457042469-0.03670466522513289j),0.07747820211603905,,,
0.30872,,0.30503152701635083,0.0036884729836491603,(-0.2369185819934833+0.08397664609599685j),0.2513612770164394,,,
0.31507,,0.30503123732303294,0.010038762676967072,(0.09759104920698751-0.4247868385091597j),0.4358530383695031,,,
0.29487,,0.3050309444079707,-0.010160944407970662,(0.23067982927569197+0.188766756427814j),0.29807058218975596,,,
0.30333,,0.30503053295349875,-0.0017005329534987568,(-0.14781598024496376+0.302525584984639j),0.3367065392683628,,,
0.30263,,0.3050300313329968,-0.002400031332996766,(-0.29293858967070696+0.023034715762540212j),0.29384284141105743,,,
0.30065,,0.3050294736780131,-0.004379473678013113,(-0.15050349616048858-0.20382153924593743j),0.25336637941351536,,,
0.30872,,0.30502873846338047,0.003691261536619528,(0.33649708133452527-0.041889630415489154j),0.33909442178101423,,,
0.30333,,0.30502797814986593,-0.0016979781498659419,(-0.14475847699664762+0.07908655471278522j),0.16495362923781742,,,
0.30952,,0.30502713636573386,0.004492863634266153,(0.09795377350408424-0.1608402158958619j),0.18832025061877147,,,
0.29739,,0.3050261276062874,-0.007636127606287402,(0.037621490763756316+0.0827121193046557j),0.09086622720876553,,,
0.28931,,0.3050249728143804,-0.01571497281438039,(-0.08470162350880919-0.12087233062633174j),0.14759568196959325,,,
0.31293,,0.30502372178972087,0.007906278210279116,(0.05332291509550227-0.1730610465512365j),0.1810896438443993,,,
0.30872,,0.3050223771566209,0.0036976228433791003,(0.12498212372826135-0.18395112478443446j),0.22239277767293839,,,
0.29821,,0.30502089025810103,-0.006810890258101054,(0.037221706307222935+0.0500761112275403j),0.062394489629246486,,,
0.30667,,0.30501930302282326,0.0016506969771767355,(0.007722156253060849-0.01859704434541243j),0.020136577553842742,,,
0.29934,,0.3050174987671485,-0.005677498767148514,(0.09301460031013434+0.07405753546822884j),0.11889589745017283,,,
0.30488,,0.305015619718586,-0.00013561971858599975,(-0.015509313529094949-0.08681430998371298j),0.08818879307537877,,,
0.30952,,0.3050135424526368,0.0045064575473632296,(0.1933681954239596+0.038721920728662776j),0.19720711484739967,,,
0.31081,,0.3050114012279719,0.005798598772028096,(0.03634777727626791+0.018658516436796488j),0.04085708198767238,,,
0.30737,,0.3050091195871371,0.0023608804128628647,(0.20655470847983154+0.06786138532411695j),0.21741668568280692,,,
0.30872,,0.3050067485516292,0.0037132514483708134,(-0.05645131335125897+0.12786691054959443j),0.13977373713462773,,,
0.30952,,0.30500430083729996,0.00451569916270006,(0.1604020190770166-0.012764916636875363j),0.16090913840030954,,,
0.30788,,0.30500181832751233,0.0028781816724876563,(-0.030420243114701408+0.16015721915268338j),0.16302063071242912,,,
0.31081,,0.30499922731841844,0.005810772681581533,(0.002466544050216077+0.02920359137055497j),0.02930756879186687,,,
0.30578,,0.30499663192324195,0.0007833680767580509,(-0.13007964567076763+0.24734940982018155j),0.27946814622819643,,,
0.3092,,0.30499397439088893,0.0042060256091110415,(-0.027923079043171584+0.0437796683987004j),0.051926464431457056,,,
0.30464,,0.3049913384254412,-0.0003513384254411611,(-0.05643309335556537-0.03490696023735077j),0.06635653621678836,,,
0.30132,,0.304988689361603,-0.003668689361603028,(-0.011866202018169205-0.016774558682358304j),0.02054732511359776,,,
0.30667,,0.3049861624233434,0.0016838375766565772,(-0.030995249028710554+0.06338412114833532j),0.07055673090569482,,,
0.30065,,0.30498375124788946,-0.0043337512478894835,(-0.13396301150639014-0.06597768939375068j),0.14932897893443006,,,
0.2987,,0.30498143073372774,-0.006281430733727722,(-0.03140822625833907+0.005959997327370648j),0.031968707275041405,,,
0.30623,,0.30497927917643636,0.0012507208235636447,(-0.07388674796303075+0.13578757111222964j),0.15458821427622238,,,
0.30549,,0.30497730888687935,0.0005126911131206335,(4.0959474139165564e-05-0.054025205747136706j),0.05402522127394736,,,
0.30872,,0.304975516057943,0.0037444839420570086,(-0.025405390149558088-0.0718097951113717j),0.0761713891339028,,,
0.31081,,0.3049739139015317,0.005836086098468252,(-0.1048876689871597-0.0673880698558117j),0.12466986429948394,,,
0.30201,,0.3049725915745679,-0.0029625915745679077,(-0.032826914367508536-0.05940445226001043j),0.06787116659674856,,,
0.30065,,0.3049716049557461,-0.004321604955746128,(-0.024789193621616357-0.06257732540025304j),0.06730843761861613,,,
0.29934,,0.3049709492204243,-0.005630949220424286,(-0.06123038214663544+0.0252787235785951j),0.06624329070619932,,,
0.30333,,0.30497064717155015,-0.001640647171550158,(-0.05162546296674269-0.08347258847352845j),0.09814714184835724,,,
0.30464,,0.3049707291887187,-0.0003307291887186814,(-0.03508579129904846+0.022811692102594195j),0.04184956448595305,,,
0.31081,,0.3049712672412509,0.005838732758749077,(-0.04701032249786178+0.043940689150961276j),0.06434869528136818,,,
0.30464,,0.3049723705571528,-0.0003323705571527946,(0.04021864205670376-0.08458681760452941j),0.09366145888970119,,,
0.30464,,0.3049739778943069,-0.0003339778943068916,(-0.03746187785045228+0.037910526911224235j),0.053297282695920475,,,
